name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name
De Gea,150000,29,Spain,0,0,0,21,13,82,goalkeeper,1,31500000,Manchester United
Carvajal,230000,28,Spain,54,78,80,83,85,0,defender,2,38000000,Real Madrid
K. Havertz,105000,21,Germany,85,79,85,46,38,0,midfielder,29,57000000,Chelsea
M. de Ligt,80000,20,Netherlands,59,66,69,85,82,0,substitute,4,49500000,Juventus
M. Rashford,150000,22,England,83,78,86,40,33,0,midfielder,10,53000000,Manchester United
L. Sane,100000,24,Germany,81,79,86,32,35,0,midfielder,10,51500000,Bayern Munich
F. de Jong,190000,23,Netherlands,64,84,87,76,77,0,midfielder,21,50500000,Barcelona
Marquinhos,115000,26,Brazil,41,73,70,87,87,0,defender,5,44000000,Paris Saint-Germain
C. Lenglet,190000,25,France,45,67,65,86,81,0,defender,15,44500000,Barcelona
S. Milinkovic-Savic,94000,25,Serbia,79,80,83,79,74,0,midfielder,21,49000000,Lazio
M. Skriniar,130000,25,Slovakia,41,59,66,87,83,0,defender,37,44500000,Inter Milan
T. Werner,135000,24,Germany,85,69,84,20,19,0,attacker,11,49500000,Chelsea
Rodri,145000,24,Spain,68,77,77,84,78,0,midfielder,16,44000000,Manchester City
S. Gnabry,100000,24,Germany,83,78,86,44,43,0,midfielder,7,47500000,Bayern Munich
R. Lukaku,165000,27,Belgium,83,76,75,41,30,0,attacker,9,45000000,Inter Milan
Luis Alberto,99000,27,Spain,76,86,85,68,45,0,midfielder,10,44000000,Lazio
M. Icardi,135000,27,Argentina,85,65,78,24,20,0,attacker,9,45000000,Paris Saint-Germain
H. Ziyech,140000,27,Morocco,76,87,84,56,40,0,midfielder,22,44000000,Chelsea
Thiago Silva,93000,35,Brazil,54,72,71,86,84,0,defender,6,11500000,Chelsea
M. Pjanic,220000,30,Bosnia Herzegovina,68,87,85,76,70,0,midfielder,8,35500000,Barcelona
G. Wijnaldum,150000,29,Netherlands,75,81,86,79,69,0,midfielder,5,37000000,Liverpool
D. Godan,135000,34,Uruguay,48,64,61,86,84,0,defender,2,14500000,Inter Milan
L. Bonucci,110000,33,Italy,58,69,70,86,80,0,defender,19,18000000,Juventus
P. Gulacsi,65000,30,Hungary,0,0,0,16,20,84,goalkeeper,1,26000000,RB Leipzig
M. Reus,94000,31,Germany,86,84,85,37,45,0,midfielder,11,34000000,Borussia Dortmund
K. Walker,170000,30,England,63,76,77,83,82,0,defender,2,30500000,Manchester City
Thiago,150000,29,Spain,72,85,90,71,68,0,substitute,6,37000000,Liverpool
C. Eriksen,155000,28,Denmark,81,88,81,57,22,0,midfielder,24,39000000,Inter Milan
Alex Sandro,120000,29,Brazil,65,77,80,81,82,0,substitute,12,31500000,Juventus
Koke,92000,28,Spain,75,85,81,80,70,0,midfielder,6,38000000,Atletico Madrid
R. Mahrez,210000,29,Algeria,79,81,90,31,22,0,attacker,26,37500000,Manchester City
E. Haaland,56000,19,Norway,87,63,80,38,30,0,attacker,9,45000000,Borussia Dortmund
L. Martanez,130000,22,Argentina,82,71,85,31,44,0,attacker,10,44500000,Inter Milan
N. Sule,84000,24,Germany,42,59,49,88,87,0,substitute,4,37500000,Bayern Munich
Arthur,98000,23,Brazil,73,82,87,79,70,0,substitute,5,41000000,Juventus
L. Goretzka,105000,25,Germany,78,80,82,79,75,0,midfielder,18,39500000,Bayern Munich
Grimaldo,20000,24,Spain,65,79,84,78,79,0,defender,3,35500000,Benfica
A. Martial,155000,24,France,83,74,87,39,36,0,attacker,9,41000000,Manchester United
J. Brandt,75000,24,Germany,78,82,87,55,57,0,substitute,19,40500000,Borussia Dortmund
K. Coman,94000,24,France,76,77,87,27,21,0,substitute,29,40500000,Bayern Munich
J. Gimenez,70000,25,Uruguay,45,53,54,87,86,0,defender,2,36000000,Atletico Madrid
A. Onana,18000,24,Cameroon,0,0,0,18,14,82,goalkeeper,24,30000000,Ajax
Saul,77000,25,Spain,79,79,81,78,77,0,midfielder,8,38500000,Atletico Madrid
R. Burki,67000,29,Switzerland,0,0,0,13,16,82,goalkeeper,1,25000000,Borussia Dortmund
S. de Vrij,130000,28,Netherlands,41,62,68,87,85,0,defender,6,30500000,Inter Milan
R. Guerreiro,86000,26,Portugal,78,84,87,76,78,0,midfielder,13,36500000,Borussia Dortmund
T. Partey,81000,27,Ghana,74,81,81,85,81,0,midfielder,5,35000000,Atletico Madrid
Alex Telles,23000,27,Brazil,74,83,81,81,79,0,defender,13,31000000,Porto
M. Brozovic,125000,27,Croatia,74,80,81,81,79,0,midfielder,77,32000000,Inter Milan
Fernandinho,110000,35,Brazil,72,78,78,86,83,0,defender,25,9500000,Manchester City
Jesus Navas,43000,34,Spain,69,79,83,78,80,0,defender,16,11000000,Sevilla
Lucas Leiva,83000,33,Brazil,66,76,78,84,81,0,midfielder,6,15000000,Lazio
A. Witsel,79000,31,Belgium,73,81,79,80,81,0,midfielder,28,23500000,Borussia Dortmund
Azpilicueta,120000,30,Spain,55,77,72,85,85,0,defender,28,24500000,Chelsea
Douglas Costa,120000,29,Brazil,73,79,91,38,34,0,substitute,11,30500000,Juventus
J. Corona,25000,27,Mexico,68,78,88,77,76,0,defender,17,32500000,Porto
I. Gueye,105000,30,Senegal,61,71,78,90,83,0,midfielder,27,25500000,Paris Saint-Germain
D. Alaba,105000,28,Austria,70,81,79,83,82,0,defender,27,27500000,Bayern Munich
Isco,210000,28,Spain,75,82,90,64,51,0,substitute,22,31500000,Real Madrid
Pizzi,25000,30,Portugal,78,83,83,67,52,0,midfielder,21,29500000,Benfica
J. Ilicçic,92000,32,Slovenia,86,84,85,32,26,0,attacker,72,25000000,Atalanta
Felipe,74000,31,Brazil,41,58,61,86,83,0,defender,18,23000000,Atletico Madrid
N. Tagliafico,27000,27,Argentina,56,73,76,80,81,0,defender,31,27500000,Ajax
F. Valverde,135000,21,Uruguay,74,78,79,80,76,0,substitute,15,36000000,Real Madrid
M. odegaard,135000,21,Norway,75,84,85,49,51,0,substitute,21,36000000,Real Madrid
O. Dembele,175000,23,France,77,77,87,30,33,0,attacker,11,35500000,Barcelona
T. Strakosha,57000,25,Albania,0,0,0,18,12,81,goalkeeper,1,25500000,Lazio
J. Gomez,93000,23,England,30,66,69,85,82,0,defender,12,31000000,Liverpool
F. Mendy,160000,25,France,64,76,79,81,80,0,defender,23,30500000,Real Madrid
A. Wan-Bissaka,115000,22,England,51,68,80,85,90,0,defender,29,30500000,Manchester United
A. Hakimi,92000,21,Morocco,70,76,82,74,76,0,midfielder,98,35000000,Inter Milan
D. van de Beek,125000,23,Netherlands,80,78,78,74,68,0,substitute,34,33000000,Manchester United
D. Zakaria,45000,23,Switzerland,64,75,77,84,80,0,midfielder,8,30500000,Borussia Mionchengladbach
Gabriel Jesus,150000,23,Brazil,82,72,87,30,28,0,attacker,9,34500000,Manchester City
S. Umtiti,170000,26,France,62,69,69,84,83,0,defender,23,28500000,Barcelona
M. Kovacçic,120000,26,Croatia,69,83,88,73,66,0,midfielder,17,31500000,Chelsea
Joao Cancelo,140000,26,Portugal,65,79,83,80,80,0,substitute,27,28000000,Manchester City
Nelson Semedo,170000,26,Portugal,57,69,82,81,80,0,defender,2,28000000,Barcelona
M. Sabitzer,73000,26,Austria,83,80,80,64,59,0,midfielder,7,31000000,RB Leipzig
Diego Carlos,39000,27,Brazil,47,63,67,82,81,0,defender,20,27000000,Sevilla
J. Matip,115000,28,Cameroon,46,68,68,86,80,0,substitute,32,25500000,Liverpool
Juan Bernat,95000,27,Spain,64,79,83,81,78,0,substitute,14,25500000,Paris Saint-Germain
S. Mandanda,28000,35,France,0,0,0,15,13,81,goalkeeper,30,7000000,Marseille
J. Vertonghen,21000,33,Belgium,62,72,71,85,86,0,defender,5,12000000,Benfica
Marcelo,170000,32,Brazil,73,80,88,77,79,0,substitute,12,16000000,Real Madrid
R. Nainggolan,125000,32,Belgium,80,80,83,86,90,0,substitute,44,20000000,Inter Milan
A. Vidal,125000,33,Chile,79,79,78,86,83,0,substitute,22,15000000,Inter Milan
Fernando,39000,32,Brazil,62,74,73,83,81,0,midfielder,25,17000000,Sevilla
K. Trippier,71000,29,England,60,81,77,83,81,0,defender,23,21500000,Atletico Madrid
I. Gundogan,160000,29,Germany,74,84,84,74,67,0,substitute,8,25000000,Manchester City
Coutinho,190000,28,Brazil,79,82,89,54,47,0,midfielder,17,26000000,Barcelona
D. Tadic,30000,31,Serbia,80,84,84,34,26,0,attacker,10,23500000,Ajax
Sergi Roberto,175000,28,Spain,63,81,78,79,78,0,substitute,20,22000000,Barcelona
F. Acerbi,75000,32,Italy,50,62,63,87,85,0,defender,33,16500000,Lazio
T. Hazard,78000,27,Belgium,77,81,86,46,48,0,substitute,10,27000000,Borussia Dortmund
Jorginho,125000,28,Italy,65,84,80,80,71,0,midfielder,5,25500000,Chelsea
D. Zapata,87000,29,Colombia,81,59,78,24,22,0,attacker,91,26000000,Atalanta
Rafa,23000,27,Portugal,73,74,87,47,39,0,midfielder,27,27000000,Benfica
M. Acuia,41000,28,Argentina,74,82,86,82,79,0,substitute,19,22000000,Sevilla
L. Hernandez,70000,24,France,54,70,71,84,86,0,substitute,21,26500000,Bayern Munich
Kepa,76000,25,Spain,0,0,0,18,16,79,goalkeeper,1,21000000,Chelsea
Marco Asensio,160000,24,Spain,80,81,83,42,39,0,substitute,11,29000000,Real Madrid
K. Laimer,53000,23,Austria,68,78,78,79,75,0,midfielder,27,26000000,RB Leipzig
H. Maguire,120000,27,England,53,69,71,83,79,0,defender,5,24000000,Manchester United
A. Correa,65000,25,Argentina,80,75,87,53,44,0,midfielder,10,28000000,Atletico Madrid
Marcos Llorente,65000,25,Spain,74,79,81,80,74,0,substitute,14,27500000,Atletico Madrid
E. Can,72000,26,Germany,78,79,80,86,80,0,defender,23,26500000,Borussia Dortmund
Morata,73000,27,Spain,80,71,81,14,20,0,attacker,9,26000000,Atletico Madrid
L. Ocampos,40000,25,Argentina,83,78,83,61,55,0,attacker,5,26500000,Sevilla
M. Ginter,48000,26,Germany,58,70,65,86,77,0,defender,28,23000000,Borussia Mionchengladbach
G. Buffon,41000,42,Italy,0,0,0,11,11,91,goalkeeper,77,2200000,Juventus
I. Rakitic,39000,32,Croatia,79,85,78,77,72,0,midfielder,10,17000000,Sevilla
D. Payet,59000,33,France,79,84,85,39,39,0,attacker,10,13500000,Marseille
I. PeriSic,115000,31,Croatia,81,78,78,52,54,0,substitute,14,19500000,Inter Milan
J. Boateng,82000,31,Germany,50,72,65,87,84,0,defender,17,16500000,Bayern Munich
A. Kolarov,105000,34,Serbia,74,81,76,83,81,0,substitute,11,8000000,Inter Milan
A. Ramsey,98000,29,Wales,77,79,80,72,68,0,midfielder,8,21500000,Juventus
D. Blind,23000,30,Netherlands,65,81,78,84,80,0,defender,17,18000000,Ajax
Mario Fernandes,500,29,Russia,61,74,79,81,83,0,defender,2,18500000,PFC CSKA Moscow
Neto,125000,30,Brazil,0,0,0,14,15,79,goalkeeper,13,15000000,Barcelona
Danilo Pereira,20000,28,Portugal,63,72,73,83,68,0,midfielder,22,20000000,Porto
A. Marchesan,16000,32,Argentina,0,0,0,15,15,81,goalkeeper,32,13500000,Porto
T. Vaclak,29000,31,Czech Republic,0,0,0,18,18,81,goalkeeper,1,14000000,Sevilla
F. Thauvin,59000,27,France,80,81,82,29,31,0,attacker,26,23000000,Marseille
Y. Carrasco,67000,26,Belgium,81,75,84,39,26,0,substitute,21,24000000,Atletico Madrid
Q. Promes,26000,28,Netherlands,80,79,82,48,40,0,midfielder,11,22500000,Ajax
M. Halstenberg,64000,28,Germany,66,73,72,82,76,0,defender,23,19000000,RB Leipzig
R. Gosens,68000,25,Germany,74,78,77,78,79,0,midfielder,8,24000000,Atalanta
Joao Felix,51000,20,Portugal,81,74,83,42,35,0,attacker,7,32000000,Atletico Madrid
A. Davies,40000,19,Canada,67,69,83,77,79,0,defender,19,22500000,Bayern Munich
Ferran Torres,97000,20,Spain,76,78,80,24,28,0,substitute,21,26500000,Manchester City
C. Pulisic,83000,21,United States,82,80,88,32,47,0,substitute,10,24500000,Chelsea
Ruben Dias,15000,23,Portugal,38,54,59,84,81,0,defender,6,22000000,Benfica
Renan Lodi,49000,22,Brazil,67,76,81,77,78,0,defender,12,21500000,Atletico Madrid
O. Vlachodimos,14000,26,Greece,0,0,0,14,12,77,goalkeeper,99,17500000,Benfica
Everton,17000,24,Brazil,75,73,85,33,29,0,midfielder,7,24000000,Benfica
T. Lemar,54000,24,France,76,81,84,59,63,0,substitute,11,23000000,Atletico Madrid
N. Keita,96000,25,Guinea,73,76,87,64,62,0,substitute,8,22500000,Liverpool
P. Kimpembe,69000,24,France,39,67,67,84,81,0,defender,3,21000000,Paris Saint-Germain
B. Pavard,65000,24,France,53,73,71,79,81,0,defender,5,20500000,Bayern Munich
B. Chilwell,79000,23,England,52,74,78,79,82,0,substitute,21,20500000,Chelsea
Raphinha,50000,23,Brazil,75,74,83,54,38,0,attacker,7,23000000,Rennes
B. Mendy,115000,25,France,54,77,77,79,80,0,defender,22,19500000,Manchester City
J. Correa,73000,25,Argentina,75,77,86,37,26,0,attacker,11,22500000,Lazio
A. Rudiger,92000,27,Germany,43,67,63,85,82,0,substitute,2,18500000,Chelsea
L. Shaw,97000,24,England,53,74,78,81,79,0,defender,23,19000000,Manchester United
Fred,115000,27,Brazil,71,79,83,79,72,0,substitute,17,19000000,Manchester United
S. Savic,60000,29,Montenegro,35,54,56,83,82,0,substitute,15,17000000,Atletico Madrid
A. Rabiot,83000,25,France,74,78,79,81,75,0,midfielder,25,21000000,Juventus
M. Lazzari,70000,26,Italy,62,77,82,53,48,0,midfielder,29,21000000,Lazio
Pepe,13000,37,Portugal,51,60,60,83,82,0,defender,3,3600000,Porto
H. Herrera,62000,30,Mexico,75,75,76,82,67,0,substitute,16,16500000,Atletico Madrid
S. Mignolet,26000,32,Belgium,0,0,0,14,16,84,goalkeeper,88,11000000,Club Brugge
Marcano,18000,33,Spain,46,60,59,83,80,0,substitute,5,8500000,Porto
Javi Martanez,76000,31,Spain,55,69,63,84,84,0,substitute,8,13500000,Bayern Munich
S. Khedira,87000,33,Germany,74,77,77,80,74,0,substitute,6,10500000,Juventus
Marlos,500,32,Ukraine,78,78,86,46,42,0,midfielder,11,14000000,Shakhtar Donetsk
Taison,500,32,Brazil,78,75,86,53,40,0,midfielder,7,14000000,Shakhtar Donetsk
Marcos Alonso,96000,29,Spain,75,78,77,81,78,0,defender,3,14500000,Chelsea
J. Cuadrado,79000,32,Colombia,72,78,88,78,81,0,midfielder,16,11000000,Juventus
T. Delaney,63000,28,Denmark,73,73,74,81,84,0,substitute,6,16000000,Borussia Dortmund
X. Shaqiri,105000,28,Switzerland,77,80,83,49,48,0,substitute,23,18000000,Liverpool
K. Kampl,65000,29,Slovenia,67,80,85,63,59,0,substitute,44,17000000,RB Leipzig
Pablo Sarabia,100000,28,Spain,76,82,83,54,49,0,substitute,19,18000000,Paris Saint-Germain
Ismaily,500,30,Brazil,64,74,81,74,75,0,defender,31,14000000,Shakhtar Donetsk
T. Meunier,63000,28,Belgium,73,76,74,79,77,0,midfielder,24,15000000,Borussia Dortmund
Suso,39000,26,Spain,75,82,86,23,18,0,attacker,7,19000000,Sevilla
A. Florenzi,84000,29,Italy,77,76,79,79,78,0,defender,24,14500000,Paris Saint-Germain
S. Arias,60000,28,Colombia,53,70,76,79,78,0,substitute,4,15000000,Atletico Madrid
M. de Roon,62000,29,Netherlands,68,72,72,82,81,0,midfielder,15,15000000,Atalanta
Vinacius Jr.,95000,19,Brazil,69,71,87,25,18,0,substitute,20,27500000,Real Madrid
N. Barella,86000,23,Italy,67,79,82,80,78,0,midfielder,23,20500000,Inter Milan
N. Mukiele,46000,22,France,42,69,72,85,82,0,substitute,22,18500000,RB Leipzig
M. Mount,69000,21,England,77,79,80,53,34,0,midfielder,19,21000000,Chelsea
D. Henderson,70000,23,England,0,0,0,14,14,77,goalkeeper,26,16000000,Manchester United
ader Militao,115000,22,Brazil,50,66,71,82,81,0,substitute,3,19000000,Real Madrid
Diogo Jota,90000,23,Portugal,77,71,84,54,44,0,substitute,20,20500000,Liverpool
M. Thuram,43000,22,France,80,70,80,49,37,0,midfielder,10,20500000,Borussia Mionchengladbach
C. Nkunku,50000,22,France,74,80,85,72,70,0,midfielder,18,20500000,RB Leipzig
N. VlaSic,500,22,Croatia,75,76,82,55,37,0,midfielder,8,20500000,PFC CSKA Moscow
V. Tsygankov,500,22,Ukraine,73,78,80,36,37,0,midfielder,15,20500000,Dynamo Kyiv
Angeliao,46000,23,Spain,66,80,81,77,74,0,defender,3,17500000,RB Leipzig
L. Klostermann,46000,24,Germany,51,66,71,81,85,0,defender,16,18000000,RB Leipzig
O. Zinchenko,96000,23,Ukraine,66,81,80,79,75,0,substitute,11,17500000,Manchester City
L. Jovic,140000,22,Serbia,81,68,80,26,16,0,substitute,18,20000000,Real Madrid
David Neres,21000,23,Brazil,73,73,86,32,32,0,midfielder,7,20000000,Ajax
V. Lindeliof,100000,25,Sweden,50,72,72,83,80,0,defender,2,17000000,Manchester United
J. Stones,110000,26,England,36,69,71,84,81,0,defender,5,16500000,Manchester City
K. Zouma,82000,25,France,51,61,56,81,78,0,defender,15,16500000,Chelsea
Otavio,17000,25,Brazil,69,78,85,52,43,0,midfielder,25,18500000,Porto
D. Rugani,71000,25,Italy,39,55,64,83,80,0,substitute,24,16500000,Juventus
C. Tolisso,74000,25,France,77,78,78,77,71,0,substitute,24,18500000,Bayern Munich
V. Rongier,45000,25,France,73,76,80,84,71,0,midfielder,21,18500000,Marseille
Mario Hermoso,51000,25,Spain,49,72,71,82,80,0,substitute,22,16500000,Atletico Madrid
F. Bernardeschi,81000,26,Italy,75,80,84,54,50,0,substitute,33,18000000,Juventus
N. Schulz,56000,27,Germany,51,74,75,74,76,0,substitute,14,14500000,Borussia Dortmund
J. Draxler,82000,26,Germany,76,80,82,64,44,0,substitute,23,17500000,Paris Saint-Germain
A. Plea,49000,27,France,83,77,79,40,30,0,attacker,14,17500000,Borussia Mionchengladbach
Joao Mario,99000,27,Portugal,69,80,83,70,62,0,substitute,55,16500000,Inter Milan
J. Milner,94000,34,England,70,82,77,80,79,0,substitute,7,7000000,Liverpool
I. Akinfeev,500,34,Russia,0,0,0,13,13,82,goalkeeper,35,6500000,PFC CSKA Moscow
S. Romero,85000,33,Argentina,0,0,0,11,15,79,goalkeeper,22,8000000,Manchester United
L. Piszczek,41000,35,Poland,68,74,72,81,80,0,substitute,26,4500000,Borussia Dortmund
Diego Costa,63000,31,Spain,79,65,74,39,30,0,substitute,19,13500000,Atletico Madrid
A. Sanchez,105000,31,Chile,78,77,85,44,35,0,substitute,7,13000000,Inter Milan
L. Stindl,45000,31,Germany,82,78,79,61,50,0,midfielder,13,13000000,Borussia Mionchengladbach
L. de Jong,38000,29,Netherlands,78,70,69,43,37,0,attacker,9,15000000,Sevilla
N. Matic,105000,31,Serbia,68,76,73,82,74,0,midfielder,31,11000000,Manchester United
Escudero,31000,30,Spain,63,75,72,78,80,0,defender,18,11500000,Sevilla
Andre Almeida,17000,29,Portugal,63,76,75,82,79,0,defender,34,12000000,Benfica
G. Krychowiak,500,30,Poland,76,72,71,77,72,0,midfielder,7,12000000,Lokomotiv Moscow
Nacho Fernandez,135000,30,Spain,37,66,66,83,82,0,substitute,6,12000000,Real Madrid
S. Vrsaljko,56000,28,Croatia,55,73,75,80,77,0,substitute,24,12500000,Atletico Madrid
Lucas Vazquez,165000,29,Spain,73,78,81,57,56,0,substitute,17,14500000,Real Madrid
M. Vecino,94000,28,Uruguay,68,77,80,78,75,0,substitute,8,13000000,Inter Milan
S. Lainer,41000,27,Austria,63,70,75,74,77,0,defender,18,13000000,Borussia Mionchengladbach
D. Upamecano,36000,21,France,40,61,66,84,77,0,defender,5,20000000,RB Leipzig
Rodrygo,90000,19,Brazil,75,70,83,36,32,0,attacker,27,21000000,Real Madrid
P. Foden,86000,20,England,70,76,81,59,47,0,substitute,47,19500000,Manchester City
B. Kamara,29000,20,France,46,71,71,79,77,0,midfielder,4,17000000,Marseille
Dani Olmo,48000,22,Spain,76,77,83,50,44,0,midfielder,25,18500000,RB Leipzig
F. Neuhaus,37000,23,Germany,69,76,81,65,64,0,midfielder,32,17500000,Borussia Mionchengladbach
D. Zagadou,38000,21,France,34,61,50,87,80,0,substitute,5,16000000,Borussia Dortmund
J. Kounde,21000,21,France,34,57,70,82,80,0,defender,12,16000000,Sevilla
R. Bentancur,67000,23,Uruguay,58,79,82,76,71,0,substitute,30,17000000,Juventus
Junior Firpo,110000,23,Spain,64,71,73,77,77,0,substitute,24,15500000,Barcelona
A. Christensen,69000,24,Denmark,31,63,68,84,82,0,defender,4,15000000,Chelsea
A. Miranchuk,50000,24,Russia,70,78,80,28,29,0,substitute,59,17000000,Atalanta
Munir,30000,24,Spain,78,75,82,27,25,0,substitute,11,17000000,Sevilla
S. McTominay,85000,23,Scotland,71,75,76,80,72,0,substitute,39,15500000,Manchester United
Vinacius,18000,25,Brazil,80,57,75,33,25,0,attacker,95,17000000,Benfica
N. Ake,100000,25,Netherlands,53,70,71,82,81,0,substitute,6,14500000,Manchester City
V. Lazaro,37000,24,Austria,70,76,80,70,69,0,substitute,19,16500000,Borussia Mionchengladbach
P. Gollini,40000,25,Italy,0,0,0,12,19,79,goalkeeper,95,12000000,Atalanta
L. Paredes,78000,26,Argentina,70,80,78,77,76,0,substitute,8,15500000,Paris Saint-Germain
Emerson,77000,25,Italy,63,70,79,77,76,0,substitute,33,14000000,Chelsea
M. Sanson,42000,25,France,75,79,78,75,71,0,midfielder,8,15500000,Marseille
J. Weigl,13000,24,Germany,48,75,75,78,74,0,midfielder,28,14500000,Benfica
R. Bensebaini,37000,25,Algeria,57,71,74,77,77,0,defender,25,14000000,Borussia Mionchengladbach
Joan Jordan,30000,25,Spain,75,79,77,76,54,0,midfielder,8,15500000,Sevilla
E. Bailly,100000,26,Ivory Coast,42,58,62,80,81,0,substitute,3,14000000,Manchester United
Odriozola,110000,24,Spain,52,71,77,76,77,0,substitute,19,14000000,Real Madrid
W. Orban,50000,27,Hungary,36,52,54,83,78,0,substitute,4,13000000,RB Leipzig
T. Bakayoko,77000,25,France,48,68,75,81,79,0,substitute,40,14000000,Chelsea
E. Mendy,40000,28,Senegal,0,0,0,11,13,79,goalkeeper,16,11000000,Rennes
N. Gudelj,30000,28,Serbia,70,78,70,77,71,0,substitute,6,12500000,Sevilla
A. Oxlade-Chamberlain,89000,26,England,74,78,83,72,68,0,substitute,15,14500000,Liverpool
Rafinha,140000,27,Brazil,76,79,84,72,66,0,midfielder,12,14000000,Barcelona
