name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name,
M. Hummels,93000,31,Germany,58,77,72,88,86,0,CB,15,33000000,Borussia Dortmund,
J. Henderson,140000,30,England,74,84,79,83,77,0,RCM,14,36500000,Liverpool,
Jordi Alba,220000,31,Spain,69,81,83,80,82,0,LB,18,32000000,Barcelona,
T. Muller,130000,30,Germany,82,82,78,57,46,0,CAM,25,42000000,Bayern Munchen,
De Gea,150000,29,Spain,0,0,0,21,13,82,GK,1,31500000,Manchester United,
Carvajal,230000,28,Spain,54,78,80,83,85,0,RB,2,38000000,Real Madrid,
J. Vardy,160000,33,England,85,66,78,50,53,0,ST,9,28000000,Leicester City,
K. Havertz,105000,21,Germany,81,79,85,46,38,0,RM,29,57000000,Chelsea,
G. Donnarumma,34000,21,Italy,0,0,0,14,16,83,GK,99,41500000,Milan,
M. de Ligt,80000,20,Netherlands,59,66,69,85,82,0,SUB,4,49500000,Juventus,
M. Rashford,150000,22,England,83,78,86,40,33,0,LM,10,53000000,Manchester United,
L. Sane,100000,24,Germany,81,79,86,32,35,0,LM,10,51500000,Bayern Munchen,
F. de Jong,190000,23,Netherlands,64,84,87,76,77,0,LCM,21,50500000,Barcelona,
Marquinhos,115000,26,Brazil,41,73,70,87,87,0,RCB,5,44000000,Paris Saint-Germain,
C. Lenglet,190000,25,France,45,67,65,86,81,0,LCB,15,44500000,Barcelona,
S. Milinkovic-Savic,94000,25,Serbia,79,80,83,79,74,0,RCM,21,49000000,Lazio,
M. a†kriniar,130000,25,Slovakia,41,59,66,87,83,0,LCB,37,44500000,Inter,
M. Depay,115000,26,Netherlands,83,81,84,31,20,0,RS,11,48500000,Olympique Lyonnais,
T. Werner,135000,24,Germany,85,69,84,20,19,0,ST,11,49500000,Chelsea,
Rodri,145000,24,Spain,68,77,77,84,78,0,CDM,16,44000000,Manchester City,
B. Leno,105000,28,Germany,0,0,0,15,18,84,GK,1,33500000,Arsenal,
S. Gnabry,100000,24,Germany,83,78,86,44,43,0,RM,7,47500000,Bayern Munchen,
Ricardo Pereira,120000,26,Portugal,66,79,82,84,83,0,SUB,21,40500000,Leicester City,
R. Lukaku,165000,27,Belgium,83,76,75,41,30,0,RS,9,45000000,Inter,
Luis Alberto,99000,27,Spain,76,86,85,68,45,0,LCM,10,44000000,Lazio,
M. Icardi,135000,27,Argentina,85,65,78,24,20,0,RS,9,45000000,Paris Saint-Germain,
H. Ziyech,140000,27,Morocco,76,87,84,56,40,0,SUB,22,44000000,Chelsea,
Thiago Silva,93000,35,Brazil,54,72,71,86,84,0,SUB,6,11500000,Chelsea,
D. Mertens,115000,33,Belgium,82,80,89,40,40,0,ST,14,24000000,Napoli,
M. Pjanic,220000,30,Bosnia Herzegovina,68,87,85,76,70,0,RCM,8,35500000,Barcelona,
G. Wijnaldum,150000,29,Netherlands,75,81,86,79,69,0,LCM,5,37000000,Liverpool,
D. Godi≠n,135000,34,Uruguay,48,64,61,86,84,0,RCB,2,14500000,Inter,
T. Alderweireld,130000,31,Belgium,55,72,67,89,85,0,RCB,4,28500000,Tottenham Hotspur,
L. Bonucci,110000,33,Italy,58,69,70,86,80,0,CB,19,18000000,Juventus,
P. Guli°csi,65000,30,Hungary,0,0,0,16,20,84,GK,1,26000000,RB Leipzig,
M. Reus,94000,31,Germany,86,84,85,37,45,0,RCM,11,34000000,Borussia Dortmund,
K. Walker,170000,30,England,63,76,77,83,82,0,RB,2,30500000,Manchester City,
Thiago,150000,29,Spain,72,85,90,71,68,0,SUB,6,37000000,Liverpool,
Parejo,59000,31,Spain,83,90,81,70,69,0,RCM,5,33000000,Villarreal CF,
C. Eriksen,155000,28,Denmark,81,88,81,57,22,0,CAM,24,39000000,Inter,
Alex Sandro,120000,29,Brazil,65,77,80,81,82,0,SUB,12,31500000,Juventus,
Koke,92000,28,Spain,75,85,81,80,70,0,RCM,6,38000000,Atletico Madrid,
L. Insigne,120000,29,Italy,78,83,91,24,22,0,LW,24,37500000,Napoli,
R. Mahrez,210000,29,Algeria,79,81,90,31,22,0,RW,26,37500000,Manchester City,
E. Haaland,56000,19,Norway,87,63,76,38,30,0,LS,9,45000000,Borussia Dortmund,
L. Marti≠nez,130000,22,Argentina,82,71,85,31,44,0,LS,10,44500000,Inter,
Oyarzabal,47000,23,Spain,82,80,84,32,30,0,LW,10,42500000,Real Sociedad,
N. Sule,84000,24,Germany,42,59,49,88,87,0,SUB,4,37500000,Bayern Munchen,
Arthur,98000,23,Brazil,73,82,87,79,70,0,SUB,5,41000000,Juventus,
L. Goretzka,105000,25,Germany,78,80,82,79,75,0,LDM,18,39500000,Bayern Munchen,
Grimaldo,20000,24,Spain,65,79,84,78,79,0,LB,3,35500000,Benfica,
A. Martial,155000,24,France,83,74,87,39,36,0,ST,9,41000000,Manchester United,
J. Brandt,75000,24,Germany,78,82,87,55,57,0,SUB,19,40500000,Borussia Dortmund,
K. Coman,94000,24,France,76,77,87,27,21,0,SUB,29,40500000,Bayern Munchen,
J. Gimenez,70000,25,Uruguay,45,53,54,87,86,0,RCB,2,36000000,Atletico Madrid,
A. Onana,18000,24,Cameroon,0,0,0,18,14,82,GK,24,30000000,Ajax,
W. Ndidi,96000,23,Nigeria,62,68,74,89,85,0,CDM,25,36500000,Leicester City,
Saul,77000,25,Spain,79,79,81,78,77,0,LM,8,38500000,Atletico Madrid,
R. Burki,67000,29,Switzerland,0,0,0,13,16,82,GK,1,25000000,Borussia Dortmund,
S. de Vrij,130000,28,Netherlands,41,62,68,87,85,0,CB,6,30500000,Inter,
L. Digne,110000,26,France,69,80,79,83,84,0,LB,12,31500000,Everton,
R. Guerreiro,86000,26,Portugal,78,84,87,76,78,0,LM,13,36500000,Borussia Dortmund,
T. Partey,81000,27,Ghana,74,81,81,85,81,0,LCM,5,35000000,Atletico Madrid,
Alex Telles,23000,27,Brazil,74,83,81,81,79,0,LB,13,31000000,Porto,
M. Brozovic,125000,27,Croatia,74,80,81,81,79,0,LCM,77,32000000,Inter,
Fernandinho,110000,35,Brazil,72,78,78,86,83,0,RCB,25,9500000,Manchester City,
Jesus Navas,43000,34,Spain,69,79,83,78,80,0,RB,16,11000000,Sevilla,
K. Schmeichel,90000,33,Denmark,0,0,0,14,13,79,GK,1,17000000,Leicester City,
S. Sirigu,54000,33,Italy,0,0,0,11,13,84,GK,39,17000000,Torino,
Lucas Leiva,83000,33,Brazil,66,76,78,84,81,0,CDM,6,15000000,Lazio,
A. Witsel,79000,31,Belgium,73,81,79,80,81,0,CDM,28,23500000,Borussia Dortmund,
Rui Patri≠cio,90000,32,Portugal,0,0,0,13,11,82,GK,11,19000000,Wolverhampton Wanderers,
Azpilicueta,120000,30,Spain,55,77,72,85,85,0,RB,28,24500000,Chelsea,
Douglas Costa,120000,29,Brazil,73,79,91,38,34,0,SUB,11,30500000,Juventus,
Iago Aspas,46000,32,Spain,85,78,86,21,18,0,ST,10,25000000,RC Celta,
J. Corona,25000,27,Mexico,68,78,88,77,76,0,RB,17,32500000,Porto,
I. Gueye,105000,30,Senegal,61,71,78,90,83,0,RCM,27,25500000,Paris Saint-Germain,
D. Alaba,105000,28,Austria,70,81,79,83,82,0,LCB,27,27500000,Bayern Munchen,
Isco,210000,28,Spain,75,82,90,64,51,0,SUB,22,31500000,Real Madrid,
Pizzi,25000,30,Portugal,78,83,83,67,52,0,CAM,21,29500000,Benfica,
W. Ben Yedder,91000,29,France,83,77,87,33,26,0,ST,9,31000000,AS Monaco,
J. Iliƒçic,92000,32,Slovenia,86,84,85,32,26,0,RF,72,25000000,Atalanta,
R. Jimenez,140000,29,Mexico,82,76,82,38,30,0,ST,9,31000000,Wolverhampton Wanderers,
Felipe,74000,31,Brazil,41,58,61,86,83,0,LCB,18,23000000,Atletico Madrid,
N. Tagliafico,27000,27,Argentina,56,73,76,80,81,0,LB,31,27500000,Ajax,
F. Valverde,135000,21,Uruguay,74,78,79,80,76,0,SUB,15,36000000,Real Madrid,
M. odegaard,135000,21,Norway,75,84,85,49,51,0,SUB,21,36000000,Real Madrid,
O. Dembele,175000,23,France,77,77,87,30,33,0,RW,11,35500000,Barcelona,
Gayi†,46000,25,Spain,61,78,80,82,84,0,LB,14,30500000,Valencia CF,
T. Strakosha,57000,25,Albania,0,0,0,18,12,81,GK,1,25500000,Lazio,
Pau Lopez,52000,25,Spain,0,0,0,20,11,82,GK,13,25500000,Roma,
J. Gomez,93000,23,England,30,66,69,85,82,0,RCB,12,31000000,Liverpool,
S. Bergwijn,105000,22,Netherlands,79,78,85,28,26,0,SUB,23,34500000,Tottenham Hotspur,
F. Mendy,160000,25,France,64,76,79,81,80,0,LB,23,30500000,Real Madrid,
A. Wan-Bissaka,115000,22,England,51,68,80,85,90,0,RB,29,30500000,Manchester United,
A. Hakimi,92000,21,Morocco,70,76,82,74,76,0,RM,98,35000000,Inter,
A. Romagnoli,51000,25,Italy,40,56,69,86,82,0,LCB,13,30000000,Milan,
D. Alli,105000,24,England,80,79,83,70,63,0,SUB,20,34000000,Tottenham Hotspur,
D. van de Beek,125000,23,Netherlands,80,78,78,74,68,0,SUB,34,33000000,Manchester United,
D. Zakaria,45000,23,Switzerland,64,75,77,84,80,0,RDM,8,30500000,Borussia Mionchengladbach,
Gabriel Jesus,150000,23,Brazil,82,72,87,30,28,0,ST,9,34500000,Manchester City,
S. Umtiti,170000,26,France,62,69,69,84,83,0,SUB,23,28500000,Barcelona,
M. Kovaƒçic,120000,26,Croatia,69,83,88,73,66,0,SUB,17,31500000,Chelsea,
Joao Cancelo,140000,26,Portugal,65,79,83,80,80,0,SUB,27,28000000,Manchester City,
Nelson Semedo,170000,26,Portugal,57,69,82,81,80,0,RB,2,28000000,Barcelona,
K. Casteels,53000,28,Belgium,0,0,0,19,17,83,GK,1,22500000,VfL Wolfsburg,
A. Lopes,69000,29,Portugal,0,0,0,15,13,80,GK,1,22000000,Olympique Lyonnais,
M. Sabitzer,73000,26,Austria,83,80,80,64,59,0,LDM,7,31000000,RB Leipzig,
Diego Carlos,39000,27,Brazil,47,63,67,82,81,0,LCB,20,27000000,Sevilla,
K. Manolas,84000,29,Greece,25,42,60,85,87,0,RCB,44,24500000,Napoli,
J. Matip,115000,28,Cameroon,46,68,68,86,80,0,SUB,32,25500000,Liverpool,
Juan Bernat,95000,27,Spain,64,79,83,81,78,0,RES,14,25500000,Paris Saint-Germain,
N. Fekir,38000,26,France,82,81,87,42,30,0,RM,8,30500000,Real Betis,
Z. Ibrahimovic,49000,38,Sweden,88,77,79,37,24,0,ST,11,9500000,Milan,
Joao Moutinho,110000,33,Portugal,75,86,83,74,68,0,LCM,28,15000000,Wolverhampton Wanderers,
S. Mandanda,28000,35,France,0,0,0,15,13,81,GK,30,7000000,Marseille,
G. Higuai≠n,17000,32,Argentina,85,71,80,22,18,0,ST,9,20500000,Inter Miami,
Renato Augusto,33000,32,Brazil,79,82,81,73,64,0,LCM,5,19500000,Beijing Sinobo Guoan FC,
C. Vela,17000,31,Mexico,82,78,84,22,14,0,ST,10,22500000,Los Angeles FC,
B. Matuidi,14000,33,France,66,75,77,83,85,0,LDM,8,12500000,Inter Miami,
J. Vertonghen,21000,33,Belgium,62,72,71,85,86,0,LCB,5,12000000,Benfica,
G. Bale,130000,30,Wales,84,82,80,55,52,0,SUB,9,24500000,Tottenham Hotspur,
Marcelo,170000,32,Brazil,73,80,88,77,79,0,SUB,12,16000000,Real Madrid,
R. Nainggolan,125000,32,Belgium,80,80,83,86,90,0,RES,44,20000000,Inter,
E. Banega,55000,32,Argentina,74,84,82,77,76,0,LCM,24,19500000,Al Shabab,
E. Dzeko,81000,34,Bosnia Herzegovina,84,71,75,28,16,0,ST,9,13500000,Roma,
A. Vidal,125000,33,Chile,79,79,78,86,83,0,SUB,22,15000000,Inter,
Yuri Berchiche,35000,30,Spain,68,76,76,80,77,0,SUB,17,20500000,Athletic Club de Bilbao,
Fernando,39000,32,Brazil,62,74,73,83,81,0,CDM,25,17000000,Sevilla,
K. Trippier,71000,29,England,60,81,77,83,81,0,RB,23,21500000,Atletico Madrid,
I. Gundogan,160000,29,Germany,74,84,84,74,67,0,SUB,8,25000000,Manchester City,
Paulinho,39000,31,Brazil,82,77,82,79,75,0,LDM,8,22000000,Guangzhou Evergrande Taobao FC,
Oscar,25000,28,Brazil,79,83,83,56,52,0,LCM,8,26000000,Shanghai SIPG FC,
K. Trapp,35000,29,Germany,0,0,0,14,10,83,GK,1,18500000,Eintracht Frankfurt,
Coutinho,190000,28,Brazil,79,82,89,54,47,0,SUB,17,26000000,Barcelona,
Muniain,41000,27,Spain,75,80,87,55,38,0,CAM,10,27000000,Athletic Club de Bilbao,
L. Hri°deckiΩ,63000,30,Finland,0,0,0,10,13,83,GK,1,17500000,Bayer 04 Leverkusen,
A. Lacazette,125000,29,France,82,75,84,51,32,0,ST,9,26000000,Arsenal,
Aitor,31000,29,Spain,0,0,0,13,12,81,GK,13,18500000,Levante UD,
W. Zaha,82000,27,Ivory Coast,75,72,87,34,32,0,LS,11,27000000,Crystal Palace,
C. Ari°nguiz,78000,31,Chile,72,82,81,74,72,0,RDM,20,19500000,Bayer 04 Leverkusen,
D. Tadic,30000,31,Serbia,80,84,84,34,26,0,ST,10,23500000,Ajax,
Sergi Roberto,175000,28,Spain,63,81,78,79,78,0,SUB,20,22000000,Barcelona,
F. Acerbi,75000,32,Italy,50,62,63,87,85,0,CB,33,16500000,Lazio,
Allan,115000,29,Brazil,71,77,82,88,86,0,CDM,6,25000000,Everton,
Lucas Moura,120000,27,Brazil,78,72,87,43,44,0,RM,27,27000000,Tottenham Hotspur,
T. Hazard,78000,27,Belgium,77,81,86,46,48,0,SUB,10,27000000,Borussia Dortmund,
Portu,50000,28,Spain,79,81,82,61,59,0,RW,7,26000000,Real Sociedad,
Jorginho,125000,28,Italy,65,84,80,80,71,0,LDM,5,25500000,Chelsea,
E. Via°ca,59000,30,Bosnia Herzegovina,77,79,82,40,40,0,RM,7,24500000,Medipol Baaüakaüehir FK,
Gerard Moreno,56000,28,Spain,84,76,80,41,41,0,RS,7,27000000,Villarreal CF,
F. Kostic,45000,27,Serbia,76,79,83,72,68,0,LM,10,27000000,Eintracht Frankfurt,
D. Zapata,87000,29,Colombia,81,59,78,24,22,0,ST,91,26000000,Atalanta,
Rafa,23000,27,Portugal,73,74,87,47,39,0,RM,27,27000000,Benfica,
M. Dubravka,47000,31,Slovakia,0,0,0,15,14,82,GK,1,16500000,Newcastle United,
M. Acui±a,41000,28,Argentina,74,82,86,82,79,0,SUB,19,22000000,Sevilla,
Ronaldo Cabrais,49000,28,Brazil,77,83,84,35,33,0,RW,34,26000000,Gri™mio,
Reguilon,85000,23,Spain,55,73,78,79,78,0,SUB,3,27500000,Tottenham Hotspur,
Fabii°n,70000,24,Spain,78,78,83,78,75,0,RCM,8,30000000,Napoli,
L. Herni°ndez,70000,24,France,54,70,71,84,86,0,SUB,21,26500000,Bayern Munchen,
Ruben Neves,89000,23,Portugal,75,84,77,75,70,0,RCM,8,29000000,Wolverhampton Wanderers,
G. Lo Celso,95000,24,Argentina,77,82,85,70,66,0,CAM,18,29000000,Tottenham Hotspur,
A. Areola,93000,27,France,0,0,0,18,12,78,SUB,1,20000000,Fulham,
Kepa,76000,25,Spain,0,0,0,18,16,79,GK,1,21000000,Chelsea,
M. Maignan,31000,24,France,0,0,0,12,19,82,GK,16,21500000,LOSC Lille,
Marco Asensio,160000,24,Spain,80,81,83,42,39,0,SUB,11,29000000,Real Madrid,
K. Laimer,53000,23,Austria,68,78,78,79,75,0,RDM,27,26000000,RB Leipzig,
H. Maguire,120000,27,England,53,69,71,83,79,0,LCB,5,24000000,Manchester United,
Anderson Talisca,36000,26,Brazil,82,81,83,55,42,0,CAM,26,27500000,Guangzhou Evergrande Taobao FC,
A. Correa,65000,25,Argentina,80,75,87,53,44,0,RM,10,28000000,Atletico Madrid,
G. Rulli,35000,28,Argentina,0,0,0,13,17,78,GK,13,20000000,Villarreal CF,
N. Pepe,98000,25,Ivory Coast,78,75,84,27,25,0,RW,19,28000000,Arsenal,
Marcos Llorente,65000,25,Spain,74,79,81,80,74,0,SUB,14,27500000,Atletico Madrid,
M. Perin,20000,27,Italy,0,0,0,12,19,79,GK,1,18500000,Genoa,
E. Can,72000,26,Germany,78,79,80,86,80,0,RCB,23,26500000,Borussia Dortmund,
Pacheco,28000,28,Spain,0,0,0,16,13,83,GK,1,19500000,Deportivo Alaves,
David Soria,30000,27,Spain,0,0,0,13,13,81,GK,13,18500000,Getafe CF,
Morata,73000,27,Spain,80,71,81,14,20,0,RS,9,26000000,Atletico Madrid,
Gabriel Paulista,46000,29,Brazil,49,71,65,83,82,0,RCB,5,21000000,Valencia CF,
N. Pope,59000,28,England,0,0,0,15,14,83,GK,1,18500000,Burnley,
L. Ocampos,40000,25,Argentina,83,78,83,61,55,0,LW,5,26500000,Sevilla,
M. Ginter,48000,26,Germany,58,70,65,86,77,0,RCB,28,23000000,Borussia Mionchengladbach,
D. Djene,39000,28,Togo,37,62,61,86,83,0,RCB,2,21500000,Getafe CF,
J. Pavlenka,32000,28,Czech Republic,0,0,0,10,14,76,GK,1,18500000,SV Werder Bremen,
G. Buffon,41000,42,Italy,0,0,0,11,11,91,SUB,77,2200000,Juventus,
Raul Albiol,41000,34,Spain,41,62,63,87,85,0,RCB,3,8000000,Villarreal CF,
I. Rakitic,39000,32,Croatia,79,85,78,77,72,0,LCM,10,17000000,Sevilla,
M. ozil,100000,31,Germany,69,85,83,16,19,0,RES,10,19500000,Arsenal,
D. Payet,59000,33,France,79,84,85,39,39,0,LW,10,13500000,Marseille,
L. Bender,72000,31,Germany,64,72,72,84,83,0,RB,8,16000000,Bayer 04 Leverkusen,
Sergio Asenjo,34000,31,Spain,0,0,0,15,14,80,SUB,1,14000000,Villarreal CF,
Willian,110000,31,Brazil,79,80,85,57,51,0,SUB,12,19500000,Arsenal,
I. Peria°ic,115000,31,Croatia,81,78,78,52,54,0,SUB,14,19500000,Inter,
F. Muslera,64000,34,Uruguay,0,0,0,16,16,82,GK,1,9500000,Galatasaray SK,
J. Boateng,82000,31,Germany,50,72,65,87,84,0,RCB,17,16500000,Bayern Munchen,
M. Arnautovic,24000,31,Austria,82,79,79,42,39,0,ST,7,20000000,Shanghai SIPG FC,
A. Kolarov,105000,34,Serbia,74,81,76,83,81,0,SUB,11,8000000,Inter,
A. Ramsey,98000,29,Wales,77,79,80,72,68,0,CAM,8,21500000,Juventus,
Canales,36000,29,Spain,80,83,83,71,55,0,RCM,10,21500000,Real Betis,
D. Blind,23000,30,Netherlands,65,81,78,84,80,0,LCB,17,18000000,Ajax,
Mi°rio Fernandes,500,29,Russia,61,74,79,81,83,0,RB,2,18500000,PFC CSKA Moscow,
O. Baumann,37000,30,Germany,0,0,0,18,14,79,GK,1,15000000,TSG 1899 Hoffenheim,
Neto,125000,30,Brazil,0,0,0,14,15,79,SUB,13,15000000,Barcelona,
Rodrigo,140000,29,Spain,79,76,81,41,40,0,SUB,20,22000000,Leeds United,
J. Rodri≠guez,105000,28,Colombia,86,85,86,41,44,0,RW,19,22500000,Everton,
Danilo Pereira,20000,28,Portugal,63,72,73,83,68,0,LCM,22,20000000,Porto,
A. Marchesi≠n,16000,32,Argentina,0,0,0,15,15,81,GK,32,13500000,Porto,
K. Bellarabi,78000,30,Germany,76,74,85,30,33,0,RM,38,21000000,Bayer 04 Leverkusen,
T. Vacli≠k,29000,31,Czech Republic,0,0,0,18,18,81,GK,1,14000000,Sevilla,
F. Thauvin,59000,27,France,80,81,82,29,31,0,RW,26,23000000,Marseille,
Y. Carrasco,67000,26,Belgium,81,75,84,39,26,0,RES,21,24000000,Atletico Madrid,
Q. Promes,26000,28,Netherlands,80,79,82,48,40,0,CAM,11,22500000,Ajax,
M. Halstenberg,64000,28,Germany,66,73,72,82,76,0,LCB,23,19000000,RB Leipzig,
A. Kramaric,56000,29,Croatia,85,73,85,20,26,0,LW,27,22000000,TSG 1899 Hoffenheim,
R. Gosens,68000,25,Germany,74,78,77,78,79,0,LM,8,24000000,Atalanta,
Raphaelito Anjos,32000,32,Brazil,0,0,0,17,13,83,GK,16,13500000,Gri™mio,
Josue Chiamulera,41000,28,Brazil,43,56,64,87,82,0,RCB,4,19500000,Gri™mio,
Joao Felix,51000,20,Portugal,81,74,83,42,35,0,LS,7,32000000,Atletico Madrid,
A. Davies,40000,19,Canada,67,69,83,77,79,0,LB,19,22500000,Bayern Munchen,
H. Aouar,65000,22,France,75,80,84,68,58,0,LCM,8,26000000,Olympique Lyonnais,
Cucurella,28000,21,Spain,67,78,80,78,77,0,LM,15,26500000,Getafe CF,
Ferran Torres,97000,20,Spain,76,78,80,24,28,0,SUB,21,26500000,Manchester City,
Richarlison,90000,23,Brazil,78,72,81,52,46,0,LW,7,25500000,Everton,
M. Diaby,54000,20,France,66,74,85,39,46,0,LM,19,25000000,Bayer 04 Leverkusen,
Gonißalo Guedes,39000,23,Portugal,79,76,81,34,30,0,LM,7,24500000,Valencia CF,
C. Pulisic,83000,21,United States,70,72,85,32,47,0,SUB,10,24500000,Chelsea,
Ruben Dias,15000,23,Portugal,38,54,59,84,81,0,RCB,6,22000000,Benfica,
Renan Lodi,49000,22,Brazil,67,76,81,77,78,0,LB,12,21500000,Atletico Madrid,
O. Vlachodimos,14000,26,Greece,0,0,0,14,12,77,GK,99,17500000,Benfica,
Everton,17000,24,Brazil,75,73,85,33,29,0,LM,7,24000000,Benfica,
T. Souƒçek,46000,25,Czech Republic,69,73,73,80,79,0,LDM,28,21500000,West Ham United,
A. Cragno,32000,26,Italy,0,0,0,11,12,76,GK,28,16500000,Cagliari,
M. Dembele,71000,23,France,79,62,76,14,16,0,LS,9,23500000,Olympique Lyonnais,
T. Lemar,54000,24,France,76,81,84,59,63,0,SUB,11,23000000,Atletico Madrid,
Y. Tielemans,82000,23,Belgium,78,82,79,71,67,0,RCM,8,23000000,Leicester City,
J. Maddison,82000,23,England,76,84,82,65,42,0,LCM,10,23000000,Leicester City,
N. Keita,96000,25,Guinea,73,76,87,64,62,0,SUB,8,22500000,Liverpool,
L. Torreira,74000,24,Uruguay,67,75,79,83,77,0,SUB,11,21000000,Arsenal,
P. Kimpembe,69000,24,France,39,67,67,84,81,0,LCB,3,21000000,Paris Saint-Germain,
B. Pavard,65000,24,France,53,73,71,79,81,0,RB,5,20500000,Bayern Munchen,
B. Chilwell,79000,23,England,52,74,78,79,82,0,SUB,21,20500000,Chelsea,
